,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,clusters,uri,song,artist
0,0.661,0.601,3,-5.448,0,0.0776,0.0614,1.06e-06,0.12,0.369,127.713,13,spotify:track:63XN4O5GTc5moJ6ln9Jvbf,Diamond Heart,Lady Gaga
0,0.666,0.889,7,-5.699,1,0.144,0.0987,0.0,0.0965,0.916,149.959,4,spotify:track:1PruWB9LHLSn67U87JQ5Eo,A-YO,Lady Gaga
0,0.549,0.414,7,-8.453,1,0.0273,0.146,0.0,0.0998,0.404,149.746,10,spotify:track:3Fc3NvJRcC7XyMRRkdxoSf,Joanne,Lady Gaga
0,0.61,0.667,11,-5.825,0,0.0314,0.00131,0.00018,0.34,0.51,96.954,9,spotify:track:3E7YQ1OTDaXB1dvK0zZb7S,John Wayne,Lady Gaga
0,0.635,0.718,0,-7.775,0,0.119,0.0304,0.000383,0.233,0.787,171.915,11,spotify:track:3A4zQx8ppDJfxAlXFlfmeo,Dancin' In Circles,Lady Gaga
0,0.613,0.857,1,-5.492,0,0.0366,0.0012,0.0,0.358,0.664,124.987,13,spotify:track:2b3Vdlo5MwN0AgTp2g32H7,Perfect Illusion,Lady Gaga
0,0.666,0.423,0,-8.012,1,0.043,0.494,0.0,0.106,0.154,129.89,17,spotify:track:2CF79j24CmlW7UpOcKVk8m,Million Reasons,Lady Gaga
0,0.599,0.712,7,-7.316,1,0.0458,0.239,0.000302,0.172,0.721,92.186,16,spotify:track:6538MYtttvNfTAwvPD4R3X,Sinner's Prayer,Lady Gaga
0,0.57,0.867,0,-5.769,1,0.0542,0.0134,0.0,0.131,0.546,119.962,19,spotify:track:5J0Y0lpsYhrZMJ5oqYADIM,Come To Mama,Lady Gaga
0,0.754,0.451,10,-7.882,1,0.038,0.0562,6.5e-06,0.0688,0.622,138.024,16,spotify:track:3d0yiPVScjPTB65vfGUW8q,Hey Girl,Lady Gaga
0,0.294,0.321,9,-11.251,1,0.0317,0.8,0.0,0.109,0.0669,107.472,14,spotify:track:1lQj4FQnlDd6K2MCiqXxRZ,Angel Down,Lady Gaga
0,0.49,0.569,9,-5.974,0,0.0299,0.793,0.0,0.677,0.384,81.366,8,spotify:track:0gw9a1fn6zjm5R2so99TOT,"Only If For A Night - MTV Unplugged, 2012",Florence + The Machine
0,0.441,0.595,4,-5.354,0,0.0311,0.721,0.0,0.778,0.265,98.387,8,spotify:track:7m2Vg1p0d0tksAnj6B4Qfd,"Drumming Song - MTV Unplugged, 2012",Florence + The Machine
0,0.467,0.682,9,-8.26,0,0.0843,0.549,0.000366,0.982,0.208,135.791,0,spotify:track:5pgW3hUOrf7LoAv1iW0q4n,"Cosmic Love - MTV Unplugged, 2012",Florence + The Machine
0,0.509,0.314,1,-11.644,1,0.033,0.927,1.31e-05,0.945,0.192,116.331,8,spotify:track:6FHdi2t1ak7bLNH6I2jwYK,"Breaking Down - MTV Unplugged, 2012",Florence + The Machine
0,0.405,0.294,6,-10.652,0,0.0475,0.879,0.0,0.69,0.345,148.005,8,spotify:track:4ZFhQCTVhCn3HCqFaUKM2a,"Never Let Me Go - MTV Unplugged, 2012",Florence + The Machine
0,0.447,0.0271,7,-15.01,1,0.0542,0.917,0.0,0.689,0.141,139.551,8,spotify:track:0RgQPAyowQWG1WvgvbsBvd,"Try A Little Tenderness - MTV Unplugged, 2012",Florence + The Machine
0,0.383,0.231,0,-10.257,1,0.0396,0.834,0.0,0.703,0.156,95.67,8,spotify:track:4PTPbE3HvhxB9z3SYMBfz6,"No Light, No Light - MTV Unplugged, 2012",Florence + The Machine
0,0.514,0.648,5,-6.264,1,0.0529,0.48,0.0,0.793,0.232,118.7,0,spotify:track:47YCLbdWctAmEDphy658VD,"Jackson - MTV Unplugged, 2012",Florence + The Machine
0,0.37,0.37,0,-7.616,0,0.0312,0.783,0.0,0.654,0.29,127.742,8,spotify:track:6CoVbl8bCxBj25ZcbgK8C0,"What The Water Gave Me - MTV Unplugged, 2012",Florence + The Machine
0,0.322,0.534,9,-6.662,0,0.0316,0.64,0.0,0.691,0.271,150.418,8,spotify:track:3pRRYcXy3Z0PsAa8griSoF,"Dog Days Are Over - MTV Unplugged, 2012",Florence + The Machine
0,0.469,0.761,5,-5.662,1,0.0517,0.687,0.0,0.695,0.402,112.047,0,spotify:track:7eA8EGUwSdCtzraYYaE8ci,"Shake It Out - MTV Unplugged, 2012",Florence + The Machine
0,0.0,0.0498,1,-33.442,1,0.0,0.646,0.0,0.146,0.0,0.0,14,spotify:track:7JxiUfSIlnspU7TwJBj172,The Element of Freedom (Intro),Alicia Keys
0,0.512,0.554,5,-6.83,0,0.0316,0.282,0.0181,0.3,0.35,121.93,6,spotify:track:7ttSUbfkcokfXiWyvJFvjj,Love Is Blind,Alicia Keys
0,0.712,0.407,4,-7.104,0,0.0308,0.036,0.000291,0.0963,0.0997,103.97,6,spotify:track:5bpx60gYQoDDJcP7vBygPB,Doesn't Mean Anything,Alicia Keys
